name,id,examine,members,lowalch,item_limit,value,highalch,icon
3rd age amulet,10344,Fabulously ancient mage protection enchanted in the 3rd Age.,t,20200,8,50500,30300,3rd age amulet.png
3rd age axe,20011,"A beautifully crafted axe, shaped by ancient smiths.",t,22000,40,55000,33000,3rd age axe.png
3rd age bow,12424,A beautifully crafted bow carved by ancient archers.,t,60000,8,150000,90000,3rd age bow.png
3rd age cloak,12437,A beautiful cloak woven by ancient tailors.,t,34000,8,85000,51000,3rd age cloak.png
3rd age druidic cloak,23345,A fabulously ancient vine cloak as worn by the druids of old.,t,80000,8,200000,120000,3rd age druidic cloak.png
3rd age druidic robe bottoms,23339,A fabulously ancient woven robe as worn by the druids of old.,t,80000,4,200000,120000,3rd age druidic robe bottoms.png
3rd age druidic robe top,23336,A fabulously ancient woven robe top as worn by the druids of old.,t,80000,4,200000,120000,3rd age druidic robe top.png
3rd age druidic staff,23342,A fabulously ancient gnarled staff as used by the druids of old.,t,80000,8,200000,120000,3rd age druidic staff.png
3rd age felling axe,28226,"A beautifully crafted axe, shaped by ancient smiths.",t,22000,,55000,33000,3rd age felling axe.png
3rd age full helmet,10350,Fabulously ancient armour beaten from magical silver.,t,36000,8,90000,54000,3rd age full helmet.png
3rd age kiteshield,10352,Fabulously ancient armour beaten from magical silver.,t,72000,8,180000,108000,3rd age kiteshield.png
3rd age longsword,12426,A beautifully crafted sword forged by ancient blacksmiths.,t,60000,8,150000,90000,3rd age longsword.png
3rd age mage hat,10342,Fabulously ancient mage protection enchanted in the 3rd Age.,t,20160,8,50400,30240,3rd age mage hat.png
3rd age pickaxe,20014,"A beautifully crafted pickaxe, shaped by ancient smiths.",t,39180,40,97950,58770,3rd age pickaxe.png
3rd age platebody,10348,Fabulously ancient armour beaten from magical silver.,t,80000,8,200000,120000,3rd age platebody.png
3rd age platelegs,10346,Fabulously ancient armour beaten from magical silver.,t,80000,8,200000,120000,3rd age platelegs.png
3rd age plateskirt,23242,Fabulously ancient armour beaten from magical silver.,t,80000,8,200000,120000,3rd age plateskirt.png
3rd age range coif,10334,Fabulously ancient range protection crafted from white dragonhide.,t,20160,8,50400,30240,3rd age range coif.png
3rd age range legs,10332,Fabulously ancient range protection crafted from white dragonhide.,t,20240,8,50600,30360,3rd age range legs.png
3rd age range top,10330,Fabulously ancient range protection crafted from white dragonhide.,t,20320,8,50800,30480,3rd age range top.png
3rd age robe,10340,Fabulously ancient mage protection enchanted in the 3rd Age.,t,20240,8,50600,30360,3rd age robe.png
3rd age robe top,10338,Fabulously ancient mage protection enchanted in the 3rd Age.,t,20320,8,50800,30480,3rd age robe top.png
3rd age vambraces,10336,Fabulously ancient range protection crafted from white dragonhide.,t,20200,8,50500,30300,3rd age vambraces.png
3rd age wand,12422,A beautifully crafted wand infused by ancient wizards.,t,60000,8,150000,90000,3rd age wand.png
A powdered wig,10392,A big do about nothing.,t,800,4,2000,1200,A powdered wig.png
Abyssal ashes,25775,A heap of ashes.,t,1,7500,1,1,Abyssal ashes.png
Abyssal bludgeon,13263,Elements of deceased Abyssal Sires have been fused together.,t,104000,8,260000,156000,Abyssal bludgeon.png
Abyssal bracelet(5),11095,Makes using the Abyss just slightly safer.,t,1680,10000,4200,2520,Abyssal bracelet.png
Abyssal dagger,13265,Something sharp from the body of a defeated Abyssal Sire.,t,46000,8,115001,69000,Abyssal dagger.png
Abyssal dagger (p),13267,Something sharp and poisonous from the body of a defeated Abyssal Sire.,t,46000,8,115002,69001,Abyssal dagger (p).png
Abyssal dagger (p+),13269,Something sharp and very poisonous from the body of a defeated Abyssal Sire.,t,46001,8,115003,69001,Abyssal dagger (p+).png
Abyssal dagger (p++),13271,Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.,t,46001,8,115004,69002,Abyssal dagger (p++).png
Abyssal whip,4151,A weapon from the Abyss.,t,48000,70,120001,72000,Abyssal whip.png
Accursed sceptre (au),27676,A mighty sceptre used in long forgotten battles.,t,1,,1,1,Accursed sceptre (au).png
Accursed sceptre (u),27662,"A mighty sceptre from long forgotten battles, corrupted by the power of Vet''ion.",t,1,,1,1,Accursed sceptre (u).png
Achey tree logs,2862,These logs are longer than normal.,t,1,13000,4,2,Achey tree logs.png
Acorn,5312,Plant this in a plantpot of soil to grow a sapling.,t,2,200,6,3,Acorn 5.png
Adamant 2h sword,1317,A two handed sword.,f,2560,125,6400,3840,Adamant 2h sword.png
Adamant arrow,890,Arrows with adamant heads.,f,32,11000,80,48,Adamant arrow 5.png
Adamant arrow(p),891,Venomous-looking arrows.,t,32,11000,80,48,Adamant arrow(p) 5.png
Adamant arrow(p+),5620,Venomous-looking arrows.,t,32,11000,80,48,Adamant arrow(p+) 5.png
Adamant arrow(p++),5626,Venomous-looking arrows.,t,32,11000,80,48,Adamant arrow(p++) 5.png
